name,abilities,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless
Bulbasaur,"['Overgrow', 'Chlorophyll']",49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,88.1,65,65,45,grass,poison,6.9,1,0,0
Ivysaur,"['Overgrow', 'Chlorophyll']",62,5120,70,405,45,Seed Pokémon,63,1059860,1.0,60,88.1,80,80,60,grass,poison,13.0,1,0,0
Venusaur,"['Overgrow', 'Chlorophyll']",100,5120,70,625,45,Seed Pokémon,123,1059860,2.0,80,88.1,122,120,80,grass,poison,100.0,1,0,0
Charmander,"['Blaze', 'Solar Power']",52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,88.1,60,50,65,fire,None,8.5,1,0,0
Charmeleon,"['Blaze', 'Solar Power']",64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,88.1,80,65,80,fire,None,19.0,1,0,0
Charizard,"['Blaze', 'Solar Power']",104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,88.1,159,115,100,fire,flying,90.5,1,0,0
Squirtle,"['Torrent', 'Rain Dish']",48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,88.1,50,64,43,water,None,9.0,1,0,0
Wartortle,"['Torrent', 'Rain Dish']",63,5120,70,405,45,Turtle Pokémon,80,1059860,1.0,59,88.1,65,80,58,water,None,22.5,1,0,0
Blastoise,"['Torrent', 'Rain Dish']",103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,88.1,135,115,78,water,None,85.5,1,0,0
Caterpie,"['Shield Dust', 'Run Away']",30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,50.0,20,20,45,bug,None,2.9,1,0,0
Metapod,['Shed Skin'],20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,50.0,25,25,30,bug,None,9.9,1,0,0
Butterfree,"['Compoundeyes', 'Tinted Lens']",45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,50.0,90,80,70,bug,flying,32.0,1,0,0
Weedle,"['Shield Dust', 'Run Away']",35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,50.0,20,20,50,bug,poison,3.2,1,0,0
Kakuna,['Shed Skin'],25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,50.0,25,25,35,bug,poison,10.0,1,0,0
Beedrill,"['Swarm', 'Sniper']",150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1.0,65,50.0,15,80,145,bug,poison,29.5,1,0,0
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,50.0,35,35,56,normal,flying,1.8,1,0,0
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,50.0,50,50,71,normal,flying,30.0,1,0,0
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,50.0,135,80,121,normal,flying,39.5,1,0,0
Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,3840,70,253,255,Mouse Pokémon,35,1000000,1.1638924455825865,30,50.0,25,35,72,normal,dark,61.378104993597944,1,0,0
Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,3840,70,413,127,Mouse Pokémon,70,1000000,1.1638924455825865,75,50.0,40,80,77,normal,dark,61.378104993597944,1,0,0
Spearow,"['Keen Eye', 'Sniper']",60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,50.0,31,31,70,normal,flying,2.0,1,0,0
Fearow,"['Keen Eye', 'Sniper']",90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,50.0,61,61,100,normal,flying,38.0,1,0,0
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",60,5120,70,288,255,Snake Pokémon,44,1000000,2.0,35,50.0,40,54,55,poison,None,6.9,1,0,0
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,50.0,65,79,80,poison,None,65.0,1,0,0
Pikachu,"['Static', 'Lightningrod']",55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,50.0,50,50,90,electric,None,6.0,1,0,0
Raichu,"['Static', 'Lightningrod', 'Surge Surfer']",85,2560,70,485,75,Mouse Pokémon,50,1000000,1.1638924455825865,60,50.0,95,85,110,electric,electric,61.378104993597944,1,0,0
Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,5120,70,300,255,Mouse Pokémon,90,1000000,1.1638924455825865,50,50.0,10,35,40,ground,ice,61.378104993597944,1,0,0
Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,5120,70,450,90,Mouse Pokémon,120,1000000,1.1638924455825865,75,50.0,25,65,65,ground,ice,61.378104993597944,1,0,0
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,0.0,40,40,41,poison,None,7.0,1,0,0
